Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/19,Thursday,32.24,3 Super Burritos,Food,Credit
1/20,Friday,14.09,Phone case,Entertainment and Recreation,Debit
1/21,Saturday,15.95,4 chip bags & cookies,Food,Credit
1/23,Monday,4.05,Notebook,Entertainment and Recreation,Cash
1/23,Monday,7.64,Chicken sandwhich,Food,Credit
1/25,Wednesday,7.64,Chicken sandwhich,Food,Credit
1/26,Thursday,12.57,Poke Bowl,Food,Credit
1/27,Friday,27.34,Chick-Fil-A,Food,Credit
1/27,Friday,10.93,Amazon,Entertainment and Recreation,Debit
1/28,Saturday,20.5,Zelle,Food,Debit
1/30,Monday,45.49,Target,Entertainment and Recreation,Credit
1/31,Tuesday,7.64,Chick-fil-a,Food,Credit